"","observed","cagr","ets","dynamic","growth_rate","cagr_se","ets_se","dynamic_se","growth_rate_se"
"1",100,NA,NA,NA,NA,NA,NA,NA,NA
"2",104.412720697519,NA,NA,NA,NA,NA,NA,NA,NA
"3",107.448443889988,NA,NA,NA,NA,NA,NA,NA,NA
"4",113.303648900483,NA,NA,NA,NA,NA,NA,NA,NA
"5",117.194700685944,NA,NA,NA,NA,NA,NA,NA,NA
"6",125.649024182993,NA,NA,NA,NA,NA,NA,NA,NA
"7",132.766854451665,NA,NA,NA,NA,NA,NA,NA,NA
"8",138.98602753181,NA,NA,NA,NA,NA,NA,NA,NA
"9",146.633164378707,NA,NA,NA,NA,NA,NA,NA,NA
"10",150.803916425587,NA,NA,NA,NA,NA,NA,NA,NA
"11",156.810320524104,157.846968278909,155.983255122597,155.435769633334,156.130392528819,1.07463856754275,0.684037178369299,1.88939015131487,0.462302078771968
"12",165.978315828341,164.025778158015,161.844814106803,166.394532493115,167.939722397109,3.81240335404451,17.0858364819577,0.173236312035662,3.84711572800419
"13",178.205402787172,173.802501162336,171.974781749082,179.347052767858,181.051873533463,19.3855427179825,38.8206385202839,1.3033646784004,8.10239570948966
"14",182.257251795432,186.995406775135,187.828417135423,178.694933676235,178.673615789299,22.4501126116885,31.0378832455206,12.6901103823555,12.8424470244522
"15",183.924987326102,190.8699218321,188.42133882519,184.372103770312,181.969149547095,48.2321152926031,20.2171768033528,0.199913114683397,3.82530141778747
"16",187.452942185532,192.107201014772,190.038359009086,186.564343702493,184.722531945106,21.6621252495612,6.68438015151869,0.789607264058513,7.45514008102214
"17",188.865705242311,195.47223504211,193.274126484257,195.006436866218,196.708924912859,43.6462359956293,19.434177846443,37.7085848768552,61.5160948004665
"18",194.165090878337,196.52267805761,194.446247659273,194.365567618749,194.130854320713,5.55821730787415,0.0790491354664944,0.0401909234462547,0.00117214187795207
"19",201.33580002606,201.893526753031,199.701542556699,197.194244881255,195.43719757063,0.311059101977148,2.67079747616172,17.1524790174604,34.7935109272098
"20",205.205703868453,209.3174835875,206.822773154765,206.134395167857,204.914349738204,16.906732457967,2.61491307673577,0.862467529588731,0.0848872292129883
"21",206.996619861228,213.118156465315,210.777265054809,207.529605281996,203.623726465294,37.4732103951752,14.2932780797449,0.284073458751515,11.3764098603379
"22",214.496905163504,214.665086816306,212.427347758376,211.887028233235,211.503971701776,0.0282850683392763,4.28306785311941,6.81145759115091,8.95765070632741
"23",212.494099319081,222.434928298553,219.811925373665,221.722691341229,224.4092930841,98.8200807991008,53.5505781651356,85.1669107112481,141.971842457947
